BUILD_YR,sale_year,SALE_PRICE,PARCEL_ARE,TAX_TOT,TOTAL_MV1,apn,licenseNum,tier,licensedUn,eviction_count,own_same_zip,LLORD_in_MPLS,latitude_1,longitude_,yWebMerc_1,Shape_Area
1902,2010,64000,6565.016399,4882.4,262500,0302824430055,LIC132642,1,2,1,0,1,44.93626,-93.27625,5611492.198,6.95235E-08
1963,2009,950000,12619.37675,29131.94,1605000,0302824430092,LIC271583,1,23,1,0,1,44.9366,-93.27752,5611545.254,1.3364E-07
1921,2000,81575,9980.06447,15265.06,841000,0302824430119,LIC250712,1,1,1,0,0,44.9347,-93.27625,5611246.61,1.05685E-07
1960,1996,279500,10765.48478,3938.36,351700,0302924230083,LIC252758,2,7,1,0,1,45.02908,-93.28766,5626100.068,1.14189E-07
1961,1996,279500,6018.510351,3957.72,353400,0302924230099,LIC152095,1,7,1,0,1,45.02922,-93.28766,5626123.169,6.38383E-08
1909,2005,129000,6284.56468,1627.3,109000,0302924320070,LIC131455,1,1,1,0,0,45.02451,-93.28697,5625380.77,6.66547E-08
1911,2008,15000,5492.635663,925.62,62000,0302924330030,LIC358126,1,1,1,0,0,45.02225,-93.28696,5625025.121,5.82536E-08
1926,2012,39000,6277.699342,1851.26,124000,0302924330067,LIC232921,2,1,1,0,1,45.02121,-93.28762,5624861.743,6.65781E-08
1924,2008,36000,5093.172998,1891.06,101500,0402924330068,LIC123104,2,1,1,0,0,45.02315,-93.30542,5625167.313,5.40175E-08
1916,2008,35000,5538.250557,3181.84,125000,0402924330135,LIC116197,3,2,1,0,0,45.02187,-93.30738,5624965.428,5.87367E-08
1982,2010,31750,75970.39231,688.38,46500,0402924330220,LIC358501,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1982,2012,31500,75970.39231,614.34,41500,0402924330223,LIC181588,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1982,2008,32225,75970.39231,673.56,45500,0402924330224,LIC358497,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1982,2008,50500,75970.39231,680.98,46000,0402924330225,LIC358496,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1982,2009,30200,75970.39231,614.34,41500,0402924330226,LIC141602,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2014,43000,75970.39231,614.34,41500,0402924330228,LIC137310,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2009,30000,75970.39231,614.34,41500,0402924330231,LIC124638,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,1994,49900,75970.39231,680.98,46000,0402924330233,LIC153071,1,1,1,1,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2002,89900,75970.39231,703.18,47500,0402924330234,LIC353920,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2004,116900,75970.39231,402.58,41500,0402924330236,LIC369191,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2006,113000,75970.39231,636.56,43000,0402924330237,LIC124930,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2011,25400,75970.39231,614.34,41500,0402924330238,LIC127013,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2013,21250,75970.39231,414.5,28000,0402924330242,LIC227515,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2001,48500,75970.39231,540.34,36500,0402924330243,LIC324251,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2010,27500,75970.39231,540.34,36500,0402924330247,LIC146891,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2013,5000,75970.39231,540.34,36500,0402924330248,LIC134477,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2010,21000,75970.39231,547.72,37000,0402924330250,LIC323782,1,5,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2000,45000,75970.39231,547.72,37000,0402924330251,LIC173970,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2005,61900,75970.39231,429.3,29000,0402924330252,LIC132348,1,2,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,2013,21000,75970.39231,547.72,37000,0402924330255,LIC114927,1,5,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1983,1990,29000,75970.39231,547.72,37000,0402924330256,LIC126823,1,1,1,0,0,45.02137,-93.30791,5624886.43,8.05707E-07
1905,2018,369875,5897.23218,6482.16,434000,0402824110133,LIC251836,1,1,1,0,0,44.94566,-93.29286,5612970.853,6.24616E-08
1900,2014,326950,5790.741421,7889.4,434500,0402824110139,LIC126871,1,2,1,0,0,44.94641,-93.29285,5613089.261,6.13349E-08
1917,2016,68000,5072.291276,1821.4,122000,0402924410004,LIC280779,1,1,2,0,0,45.02711,-93.29098,5625790.068,5.37996E-08
1918,2013,47200,5066.04127,1769.14,118500,0402924410044,LIC128612,1,1,1,0,1,45.02602,-93.29223,5625618.717,5.37323E-08
1910,2013,62000,5010.664744,2440.96,163500,0402924410063,LIC127289,1,1,1,0,0,45.02699,-93.28845,5625770.955,5.31461E-08
1910,2017,105000,5055.870045,2535.72,134500,0402924410139,LIC370456,2,1,2,0,1,45.02497,-93.29024,5625453.179,5.36235E-08
1921,2017,50000,5056.987532,1287.8,63000,0402924410141,LIC355753,2,1,1,0,1,45.02519,-93.29024,5625487.758,5.36354E-08
1909,2002,207000,4992.402602,2677.48,147500,0402924410156,LIC110187,1,2,1,0,1,45.02419,-93.28843,5625329.985,5.29498E-08
1911,2015,40100,5052.300421,1619.84,108500,0402924410194,LIC151465,1,1,1,0,0,45.02476,-93.2915,5625420.068,5.35853E-08
1904,1985,62000,5456.959112,5339.56,357500,0402824140041,LIC149483,1,1,1,0,1,44.94387,-93.2916,5612688.627,5.77969E-08
1922,2018,725000,7770.008285,14665.46,808000,0402824140178,LIC367846,1,5,1,0,0,44.94167,-93.2929,5612343.134,8.22919E-08
1906,2014,70000,5068.390067,1781.98,99000,0402924420052,LIC150087,2,2,2,0,0,45.02735,-93.29351,5625827.594,5.37585E-08
1915,2016,57225,5062.413761,1687.64,114000,0402924420059,LIC356617,1,1,1,0,0,45.02658,-93.2935,5625706.661,5.36946E-08
1902,2017,135000,5059.856704,2429.74,135000,0402924420062,LIC353966,1,2,1,0,0,45.02625,-93.2935,5625654.833,5.36669E-08
1905,2008,37000,5058.149074,1830.7,91000,0402924420064,LIC116110,3,2,1,0,0,45.02603,-93.2935,5625620.281,5.36488E-08
1917,2002,110000,5065.579831,1317.54,89000,0402924420076,LIC130268,3,1,1,0,0,45.02702,-93.29405,5625776.417,5.37283E-08
1916,2013,37500,5082.455875,1746.86,118000,0402924420185,LIC264718,1,1,1,0,0,45.02489,-93.29529,5625440.721,5.39055E-08
1923,2014,115400,5044.976614,2580.92,157500,0402924430004,LIC133515,1,1,1,0,0,45.0235,-93.29347,5625222.005,5.35065E-08
1900,2003,200000,5815.916416,8934.62,465000,0402824210169,LIC280488,1,4,1,0,1,44.94528,-93.29869,5612911.81,6.15998E-08
1958,2010,180000,5024.773214,3211.26,248000,0402924430153,LIC131585,2,4,1,0,1,45.0205,-93.29595,5624749.619,5.32899E-08
1900,2016,41500,5032.345281,2821.12,100500,0402924430173,LIC131889,3,1,1,0,1,45.02159,-93.2947,5624920.778,5.33712E-08
1962,2018,950000,15077.74851,16690.12,886500,0402924430184,LIC365702,2,16,1,0,1,45.02061,-93.29523,5624765.988,1.59905E-07
1952,2013,60500,8804.095762,4966.58,257000,0402924430190,LIC234656,3,5,2,0,0,45.02141,-93.29524,5624893.38,9.33723E-08
1949,2014,91000,4984.29892,1749.18,102000,0402924440021,LIC129612,1,1,1,0,0,45.02281,-93.28896,5625112.825,5.28625E-08
1917,2015,45000,5046.452496,1573.18,90000,0402924440052,LIC133479,1,1,1,0,0,45.02337,-93.29022,5625200.792,5.35222E-08
1900,2013,56000,4796.227527,1506.62,80000,0402924440057,LIC377448,3,1,1,0,0,45.02381,-93.29095,5625270.367,5.08685E-08
1911,2018,198000,5032.277343,2857.46,141000,0402924440124,LIC377430,2,2,1,0,0,45.02136,-93.29272,5624884.625,5.33701E-08
1953,2013,51000,5036.760627,4445.62,106000,0402924440132,LIC234229,1,1,1,0,0,45.02189,-93.29093,5624967.922,5.34181E-08
1926,1995,46500,5034.732316,2831.54,98500,0402924440135,LIC218558,3,1,1,0,0,45.02156,-93.29093,5624916.075,5.3396E-08
1902,2007,34000,5031.458684,1741.88,97000,0402924440170,LIC280278,2,1,1,0,0,45.02089,-93.28966,5624810.795,5.3361E-08
2001,2011,115000,5029.771036,2701.44,183500,0402924440177,LIC366668,1,1,1,0,0,45.02067,-93.2902,5624776.909,5.33427E-08
1907,2012,32000,5030.445753,1885.72,111000,0402924440178,LIC126979,1,1,1,0,0,45.02078,-93.2902,5624794.193,5.33502E-08
1953,1992,1,5396.007218,7998.34,440500,0402824310062,LIC201470,1,2,1,1,1,44.94104,-93.30126,5612244.705,5.71484E-08
1950,1994,426300,13022.92162,32698.16,1801500,0402824410043,LIC303715,1,17,2,0,0,44.94053,-93.29291,5612164.502,1.37923E-07
1950,1994,426300,11935.17639,33061.16,1821500,0402824410045,LIC254090,1,17,1,0,0,44.94108,-93.29291,5612249.917,1.26404E-07
1962,2006,783750,8499.89768,19438.04,1070500,0402824410078,LIC114601,1,11,1,0,0,44.94006,-93.28861,5612089.884,9.00196E-08
1927,1995,136000,3553.609417,6688.06,368500,0402824420045,LIC142291,1,2,1,0,0,44.93937,-93.29739,5611982.063,3.76347E-08
1928, ,0,8120.350707,26808.68,1477000,0402824420116,LIC141851,1,11,1,0,1,44.94014,-93.29492,5612102.361,8.60003E-08
1959,2012,1498500,10827.30399,57999.74,3195500,0402824420131,LIC182990,1,28,1,0,0,44.94005,-93.29419,5612088.583,1.14669E-07
1926, ,0,5694.136392,1679.56,112500,0402824420277,LIC286247,1,10,1,0,0,44.93832,-93.29493,5611816.517,6.0303E-08
1957,2001,850000,9542.208717,32641.68,1771500,0402824440032,LIC291552,1,23,1,0,1,44.93722,-93.29167,5611643.81,1.01054E-07
1962,2001,545000,7201.038123,23125.18,1259000,0402824440108,LIC120451,1,11,1,0,0,44.93571,-93.28865,5611406.513,7.62584E-08
1962,2006,1567500,8084.545,22896.98,1261500,0402824440109,LIC201035,1,11,1,0,0,44.93554,-93.28865,5611378.803,8.56141E-08
1893,2016,58000,6498.557758,2115.14,116000,0402924110014,LIC353979,1,2,1,0,0,45.03194,-93.29102,5626551.408,6.89332E-08
1959, ,0,22554.67675,28241.06,1569500,0402924110017,LIC125925,1,22,3,0,0,45.03243,-93.29006,5626628.605,2.3925E-07
1966,2008,1500000,9349.562766,12298.84,683500,0402924110019,LIC125926,1,9,1,0,0,45.03238,-93.28966,5626620.533,9.91761E-08
1931,2012,43100,6150.356344,3057.26,155500,0402924110055,LIC276090,1,2,2,0,0,45.03179,-93.29028,5626526.781,6.52395E-08
1909,2013,35000,6352.191106,1260.98,83000,0402924110094,LIC125976,1,1,1,0,0,45.03195,-93.29285,5626552.096,6.73804E-08
1966,2012,380000,8671.216924,8403.56,467000,0402924120010,LIC127644,2,9,1,0,0,45.03423,-93.29357,5626911.402,9.19833E-08
1964,1999,215700,11666.85301,8763.44,487000,0402924120039,LIC261837,1,8,4,0,0,45.03311,-93.29541,5626736.235,1.23758E-07
1962,2002,594000,12294.48008,12326.14,685000,0402924120086,LIC109921,2,11,3,1,1,45.03518,-93.29803,5627061.126,1.3042E-07
1898,2018,199150,4127.328957,2541.26,126000,0402924120204,LIC376588,2,1,1,1,1,45.03169,-93.29802,5626512.299,4.37804E-08
1900,2008,27000,6394.929892,1391.56,94000,0402924130031,LIC139774,1,1,1,0,0,45.029,-93.29484,5626087.493,6.78308E-08
1916,2018,135000,6396.199221,2483.08,138000,0402924130042,LIC375573,1,2,1,1,1,45.0279,-93.29538,5625915.505,6.7843E-08
1932,2012,23350,6395.962708,1147.3,77500,0402924130044,LIC260065,2,1,2,0,0,45.02818,-93.29539,5625958.67,6.78405E-08
1898,2008,33000,6395.029652,1643.24,111000,0402924130053,LIC116917,1,1,1,0,0,45.02927,-93.29539,5626131.33,6.7832E-08
1907,2015,88000,6397.289115,2524.08,170500,0402924130093,LIC131990,1,1,1,0,0,45.02792,-93.29739,5625917.914,6.78544E-08
1900,2018,155900,6393.869369,1991.14,134500,0402924130163,LIC375023,2,1,1,1,1,45.02986,-93.2954,5626223.019,6.78204E-08
2007,2014,98400,4931.095299,2331.62,157500,0402924130179,LIC131057,1,1,1,0,0,45.02848,-93.29791,5626005.965,5.23033E-08
1965,2011,70000,5000.222481,3140.64,173000,0402924140034,LIC280594,1,2,1,0,0,45.02819,-93.28846,5625960.117,5.3036E-08
1905,2016,71000,5337.535226,1560.12,104500,0402924140056,LIC141813,2,1,1,0,0,45.02809,-93.29026,5625944.636,5.66139E-08
1891,1995,49900,5093.696197,1784.88,89500,0402924140087,LIC142939,2,1,1,0,0,45.03005,-93.28973,5626253.492,5.40296E-08
1909,2012,55000,6382.935103,1888.58,126500,0402924140134,LIC126839,1,1,1,0,0,45.02801,-93.29155,5625932.46,6.77023E-08
1902,2015,70000,5114.576414,1896.36,104500,0402924140147,LIC136119,2,2,1,0,0,45.0292,-93.29229,5626118.892,5.42501E-08
1893,2017,110000,6391.308369,1860.08,102500,0402924140175,LIC364031,1,2,1,0,0,45.03053,-93.29229,5626328.316,6.7794E-08
1916,2008,25000,4749.681915,1554.64,92000,0402924210008,LIC126397,2,1,1,0,1,45.03272,-93.29867,5626673.365,5.03829E-08
1947,2018,165000,6889.407557,1558.36,127500,0402924210034,LIC120239,1,1,1,0,1,45.03319,-93.29922,5626748.138,7.30805E-08
1923,2009,26000,3669.899733,1717.26,116000,0402924210081,LIC120161,2,1,1,0,0,45.03522,-93.2987,5627067.946,3.89305E-08
1900,2012,54000,4867.108391,1798.68,121500,0402924210082,LIC127464,1,1,1,0,1,45.03518,-93.29884,5627061.046,5.16304E-08
1922,2017,25000,4327.478291,858.62,58000,0402924210171,LIC359380,1,1,1,0,1,45.03447,-93.30188,5626948.935,4.59055E-08
1931,1998,56600,5054.571844,2641.6,137500,0402924220082,LIC286475,3,1,1,0,0,45.03493,-93.30382,5627022.129,5.36189E-08
1925,2012,100,6080.53188,3507.02,158000,0402924220179,LIC124533,2,1,1,0,0,45.03324,-93.30815,5626755.702,6.45006E-08
1964, ,0,19891.24209,39721.42,2187500,0502824220012,LIC146262,1,27,1,0,1,44.94528,-93.32603,5612910.479,2.10681E-07
1971, ,0,147558.8078,481192.96,26500000,0502824220037,LIC131782,3,3,1,1,1,44.94583,-93.32446,5612997.653,1.56291E-06
1933,1996,102000,6797.662582,4129.8,229500,0502924110212,LIC150301,2,2,1,0,1,45.03324,-93.30892,5626755.284,7.21075E-08
1952,2003,140900,5198.676643,2702.86,164500,0502924140003,LIC135659,1,1,1,0,0,45.03097,-93.30886,5626397.855,5.5144E-08
1917,2013,64600,5194.968354,3302.1,183500,0502924140209,LIC128695,2,2,1,0,0,45.02895,-93.30882,5626080.117,5.51027E-08
1950,2014,126250,4914.611835,2353.84,159000,0502924140227,LIC144590,1,1,1,0,0,45.02862,-93.30935,5626028.378,5.21289E-08
1916,2017,115000,5065.901229,2087.22,116000,0502924410140,LIC355906,1,2,1,0,0,45.02498,-93.31308,5625454.922,5.373E-08
1924,2008,60000,5362.133049,2509.28,169500,0502924420073,LIC117339,2,1,1,0,0,45.02471,-93.31436,5625411.794,5.68714E-08
1923,1985,70000,5133.936343,2686.92,181500,0502924430006,LIC273444,1,1,1,0,1,45.0234,-93.31633,5625206.779,5.44501E-08
1924,2012,52000,5226.481702,1931.92,130500,0502924430131,LIC277210,2,1,1,0,0,45.02168,-93.31683,5624935.348,5.543E-08
1970,2018,1200000,16235.72724,15457.02,859000,0502924440005,LIC365458,1,17,1,0,0,45.02166,-93.30867,5624932.638,1.72189E-07
1900,2011,56500,5420.55385,2087.36,141000,0502924440042,LIC127015,1,1,1,0,0,45.02214,-93.31248,5625007.089,5.74889E-08
1900,2009,23625,5482.74385,1391.56,94000,0502924440086,LIC357942,2,1,1,0,0,45.02085,-93.30991,5624803.759,5.81468E-08
1916,2015,84000,5033.269187,2113.38,134000,0502924440112,LIC133470,1,1,1,0,0,45.0234,-93.3087,5625205.447,5.33824E-08
1922,2013,180000,4564.04292,2798.28,155500,0502924440137,LIC148669,1,2,1,1,1,45.02394,-93.30997,5625291.882,4.84062E-08
1923,2010,100,5091.751614,2074.52,123500,0502924440146,LIC123180,2,1,1,0,0,45.02296,-93.30995,5625136.651,5.40024E-08
1923,2016,58000,5090.50592,1317.54,89000,0502924440152,LIC354972,1,1,1,0,0,45.02241,-93.31049,5625050.493,5.39886E-08
1924,2016,53000,3820.651286,1376.76,93000,0502924440194,LIC280515,1,1,1,0,1,45.02384,-93.31185,5625275.671,4.05219E-08
1920,2013,94000,5073.646376,3523.4,220000,0602823440039,LIC129179,1,1,1,0,0,44.93551,-93.21185,5611375.298,5.37292E-08
1928,2018,303300,5728.456564,3904.68,272500,0602823220018,LIC373967,1,2,1,0,1,44.94731,-93.22393,5613229.712,6.06762E-08
